Organism,Limb.width,Limb.length,Observer
Ixodes scapularis,0.01,0.2,Diomedes I
Ixodes scapularis,0.02,0.1,Victoria X
Ixodes scapularis,0.01,0.3,Victoria X
Ixodes scapularis,0.03,0.4,Idomeneus C
Ixodes scapularis,0.02,0.2,Idomeneus C
Ixodes scapularis,0.01,0.2,Genghis K
Ixodes scapularis,0.01,0.1,Hans P
Ixodes scapularis,0.01,0.3,Hans P
Ixodes scapularis,0.02,0.2,Pat D
Ixodes scapularis,0.01,0.3,Pat D
Ixodes scapularis,0.02,0.3,Pat D
Homo sapiens,10.2,48,Genghis K
Homo sapiens,11.3,40,Genghis K
Homo sapiens,12.8,42,Hans P
Homo sapiens,14.3,51,Hans P
Homo sapiens,15.8,48,Hans P
Homo sapiens,19,62,Victoria X
Homo sapiens,11.2,43,Victoria X
Homo sapiens,19.1,56,Victoria X
Homo sapiens,15.3,49,Pat D
Homo sapiens,15,43,Pat D
Homo sapiens,12,43,Pat D
Homo sapiens,13.5,45,Olivier R
Homo sapiens,18.2,52,Olivier R
Homo sapiens,12.3,41,Jonah H
Homo sapiens,14.1,38,Jonah H
Homo sapiens,11.3,31,Jonah H
Homo sapiens,16.4,58,Moses A
Homo sapiens,11.3,41,Moses A
Homo sapiens,14.2,55,Moses A
Panthera uncia,21.8,38,Alan R
Panthera uncia,25.2,39,Alan R
Panthera uncia,28.7,42,Alan R
Giraffa camelopardalis,42.1,221,Diomedes I
Giraffa camelopardalis,41,208,Diomedes I
Giraffa camelopardalis,51.4,268,Olivier R
Giraffa camelopardalis,39.3,199,Diomedes I
Giraffa camelopardalis,48.2,211,Diomedes I
Felis silvestris,3.53,15,Diomedes I
Felis silvestris,4.32,16,Alexa Z
Felis silvestris,2.22,10,Alexa Z
Felis silvestris,2.88,13,Alexa Z
Felis silvestris,2.6,11,Alexa Z
Felis silvestris,3.66,14,Genghis K
Felis silvestris,3.74,15,Genghis K
Felis silvestris,3.83,12,Genghis K
Felis silvestris,3.48,13,Genghis K
Canis latrans,6.83,21,Olivier R
Canis latrans,6.22,22,Olivier R
Canis latrans,7.21,24,Olivier R
Canis latrans,5.89,20,Genghis K
Morpho menelaus,0.05,0.8,Charles X
Morpho menelaus,0.08,1.2,Charles X
Morpho menelaus,0.03,0.5,Charles X
Morpho menelaus,0.06,0.9,Charles X
Anolis carolinensis,0.68,4.2,Charles X
Anolis carolinensis,0.5,4.1,Charles X
Anolis carolinensis,0.51,3.9,Charles X
Anolis carolinensis,0.49,4.3,Charles X
Anolis carolinensis,0.62,4.9,Charles X
Anolis carolinensis,0.58,4.3,Logan F
Anolis carolinensis,0.56,3.8,Logan F
Rhinoplax vigil,1.21,8.3,Jon S
Rhinoplax vigil,1.84,9.2,Jon S
Rhinoplax vigil,1.73,8.6,Jon S
Buteo galapagoensis,1.76,8.1,Charlie N
Buteo galapagoensis,1.13,8.4,Charlie N
Buteo galapagoensis,1.34,8.2,Charlie N
Buteo galapagoensis,1.48,8.9,Charlie N
Buteo galapagoensis,1.22,8.4,Charlie N
Buteo galapagoensis,1.24,8.3,Charlie N
Cygnus atratus,2.16,10.9,Bryson K
Cygnus atratus,2.31,11.8,Bryson K
Cygnus atratus,1.93,11.2,Bryson K
Cygnus atratus,2.52,12.5,Olivier R
Cygnus atratus,2.21,12.1,Olivier R
Nasua nasua,4.21,12.2,Bryson K
Nasua nasua,5.01,14.2,Olivier R
Nasua nasua,4.88,13.8,Idomeneus C
Nasua nasua,4.02,12.7,Idomeneus C
Nasua nasua,3.97,12.5,Idomeneus C
